by,id,title,type,url
ArtLover,1,"New Contemporary Art Exhibition in Paris","Event","https://example.com/contemporary-art-exhibition-paris"
MovieBuff,2,"Upcoming Film Festival in Cannes","Event","https://example.com/film-festival-cannes"
MusicEnthusiast,3,"Concert by World-Renowned Pianist","Event","https://example.com/world-renowned-pianist-concert"
TheaterFanatic,4,"Broadway Musical: The Phantom of the Opera","Event","https://example.com/phantom-of-the-opera-broadway"
Bookworm,5,"Book Launch Event: Latest Bestseller","Event","https://example.com/book-launch-latest-bestseller"
ArtCollector,6,"Auction of Rare Art Pieces","Event","https://example.com/auction-rare-art"
FilmFanatic,7,"Exclusive Screening of Indie Films","Event","https://example.com/indie-films-screening"
MusicFan,8,"Music Festival Featuring Top Bands","Event","https://example.com/music-festival-top-bands"
TheaterEnthusiast,9,"Shakespearean Play: Romeo and Juliet","Event","https://example.com/romeo-and-juliet-shakespeare"
BookLover,10,"Book Reading by Acclaimed Author","Event","https://example.com/book-reading-acclaimed-author"
ArtCritic,11,"Art Talk: Modern Art Trends","Event","https://example.com/art-talk-modern-art"
MovieReviewer,12,"Film Critique Session: Classic Movies","Event","https://example.com/film-critique-classic-movies"
MusicCritic,13,"Album Review: Chart-Topping Hits","Event","https://example.com/album-review-chart-topping-hits"
TheaterReviewer,14,"Stage Performance Review: Comedy Show","Event","https://example.com/stage-performance-review-comedy-show"
BookReviewer,15,"Literary Discussion: Contemporary Novels","Event","https://example.com/literary-discussion-contemporary-novels"
ArtAppreciator,16,"Art Workshop: Introduction to Oil Painting","Event","https://example.com/art-workshop-oil-painting"
MovieLover,17,"Movie Marathon: Cult Classics","Event","https://example.com/movie-marathon-cult-classics"
MusicLover,18,"Live Music Jam Session: Jazz Night","Event","https://example.com/live-music-jam-session-jazz"
TheaterGoer,19,"Theater Workshop: Acting Techniques","Event","https://example.com/theater-workshop-acting"
Bookworm,20,"Book Club Meeting: Literary Analysis","Event","https://example.com/book-club-literary-analysis"
ArtEnthusiast,21,"Art Exhibition Opening Reception","Event","https://example.com/art-exhibition-opening"
MovieCritic,22,"Film Symposium: Cinema Studies","Event","https://example.com/film-symposium-cinema-studies"
MusicReviewer,23,"Music Theory Lecture: Harmony and Melody","Event","https://example.com/music-theory-lecture"
TheaterLover,24,"Drama Workshop: Character Development","Event","https://example.com/drama-workshop-character"
BookWorm,25,"Author Signing Event: Book Autographs","Event","https://example.com/author-signing-book-autographs"
ArtCritique,26,"Art Lecture Series: Art Movements of the 20th Century","Event","https://example.com/art-lecture-art-movements"
MovieFan,27,"Film Festival Panel Discussion: Filmmaking Trends","Event","https://example.com/film-festival-panel-discussion"
MusicFanatic,28,"Concert by Emerging Indie Bands","Event","https://example.com/emerging-indie-bands-concert"
TheaterBuff,29,"Theater Masterclass: Directing Techniques","Event","https://example.com/theater-masterclass-directing"
BookLover,30,"Book Fair: Discover New Releases","Event","https://example.com/book-fair-new-releases"
ArtAficionado,31,"Art Symposium: Contemporary Art Analysis","Event","https://example.com/art-symposium-contemporary-art"
MovieAficionado,32,"Movie Premiere: Red Carpet Event","Event","https://example.com/movie-premiere-red-carpet"
MusicAficionado,33,"Music Festival Workshop: Songwriting Tips","Event","https://example.com/music-festival-workshop-songwriting"
TheaterAficionado,34,"Theater Festival: Experimental Plays","Event","https://example.com/theater-festival-experimental-plays"
BookAficionado,35,"Book Festival: Meet Authors and Publishers","Event","https://example.com/book-festival-meet-authors"
ArtBuff,36,"Art History Tour: Renaissance Art","Event","https://example.com/art-history-tour-renaissance"
MovieBuff,37,"Film Retrospective: Classic Hollywood","Event","https://example.com/film-retrospective-classic-hollywood"
MusicBuff,38,"Music Workshop: Introduction to Guitar","Event","https://example.com/music-workshop-intro-guitar"
TheaterBuff,39,"Theater Lecture: Theatrical Traditions","Event","https://example.com/theater-lecture-theatrical-traditions"
BookBuff,40,"Book Swap: Exchange Your Favorite Reads","Event","https://example.com/book-swap-favorite-reads"
ArtFan,41,"Art Workshop: Sculpture Techniques","Event","https://example.com/art-workshop-sculpture"
MovieFan,42,"Film Discussion Club: Cinematic Analysis","Event","https://example.com/film-discussion-cinematic-analysis"
MusicFan,43,"Concert Series: Chamber Music Performances","Event","https://example.com/concert-series-chamber-music"
TheaterFan,44,"Theater Improv Workshop: Acting Exercises","Event","https://example.com/theater-improv-acting"
BookFan,45,"Book Signing: Meet Your Favorite Authors","Event","https://example.com/book-signing-meet-authors"
ArtLover,46,"Art Workshop: Watercolor Painting Techniques","Event","https://example.com/art-workshop-watercolor"
MovieLover,47,"Film Screening: International Cinema Showcase","Event","https://example.com/film-screening-international-cinema"
MusicLover,48,"Live Music Performance: Acoustic Night","Event","https://example.com/live-music-acoustic-night"
TheaterLover,49,"Theater Play: Shakespeare's Hamlet","Event","https://example.com/hamlet-theater-play"
